book_id;character_id;name;gender;descent_country;descent_city;living_country;living_city;age;education;profession
14;13;Anna;2;1;1;1;1;99;2;kroegeigenaar
14;14;Bart;1;1;99;1;1;4;1;dichter
14;15;Aissa;2;5;99;1;1;1;99;student
14;16;Cornelius;1;1;99;1;1;99;1;dichter
14;17;Willem;1;1;99;1;1;2;1;99
14;18;Sulung;2;6;99;1;1;99;1;ambtenaar
14;19;Haddad;1;5;99;1;1;99;99;99
15;1;Arthur;1;1;99;1;2;3;1;journalist
15;2;Remy;1;1;99;1;2;2;1;docent/filosoof/socioloog
15;3;Paul;1;1;99;1;2;2;1;politiechef
15;4;Josefien;1;1;99;1;99;6;99;99
15;5;Zoë;2;1;99;1;2;1;99;99
15;6;Estee;2;1;99;99;99;1;99;99
15;7;Taij;1;1;2;1;2;1;99;scholier
15;8;Bleeker;1;1;99;1;99;6;1;hoofdredacteur
15;9;Stephanie;2;1;99;1;2;1;1;kunstenaar
15;10;Fee;2;1;2;1;2;1;99;99
15;11;Hailie;2;1;2;1;2;1;99;99
15;12;Mirjam;2;1;99;1;2;2;1;ICT'er
15;13;Manny;1;1;99;1;2;2;1;eigenaar platenzaak
15;14;Chandir;1;99;99;99;99;99;1;arts
15;15;Debby;2;1;99;1;99;99;99;99
15;16;Edward;1;1;99;1;99;6;99;99
15;17;Paula;2;1;99;1;99;3;2;zangeres
15;18;Claire;2;1;99;1;99;3;99;99
15;19;Serge;1;1;99;1;99;4;99;99
15;20;Richard;1;1;99;1;99;6;99;99
15;21;Ellen;2;1;99;1;99;3;99;schrijver
16;1;ik;1;1;3;1;2;3;99;postbode/fondsenwerver/drugsdealer
16;2;Ernst;1;1;2;1;2;1;2;werkloos
16;3;vader;1;1;99;1;2;4;99;eigenaar café
16;4;moeder;2;1;99;1;2;4;99;student
16;5;Bente;2;99;99;1;2;3;99;conducteur
16;6;Kaiser;1;1;2;1;2;1;99;drugsdealer
16;7;Kemal;1;5;99;1;1;1;2;fondsenwerver/krantenbezorger/afwasser/drugsdealer
16;8;Boy;1;1;3;1;1;1;1;student
16;9;Nigel;1;6;99;1;1;99;2;uitsmijter
16;10;Lizzy;2;1;99;1;1;2;99;99
17;1;Bram;1;1;1;1;1;3;1;docent
17;2;Leslie;2;4;99;4;10;3;99;99
17;3;Harry;1;1;99;1;1;1;1;schooldirecteur
17;4;Marianne;2;99;1;1;1;3;99;99
17;5;Lisa;2;1;1;1;1;1;99;scholier
17;6;Jolien;2;1;1;1;1;1;99;scholier
17;7;Alex;1;1;1;1;1;2;1;electricien
17;8;Wim;1;1;1;1;1;3;99;ambtenaar/'dienst migratie preventie'
17;9;Benno;1;1;1;1;1;1;99;scholier
18;1;Ik;1;1;3;1;3;5;99;99
18;2;David;1;99;99;99;99;99;99;wetenschapper
18;3;Bellini;1;3;6;3;6;6;1;muzikant
18;4;Rossini;1;3;7;3;7;6;1;muzikant
18;5;Romani;1;3;6;3;7;6;1;schrijver
18;6;Florimo;1;3;7;3;6;6;1;bibliothecaris/docent/muzikant
18;7;Puccini;1;3;7;3;6;6;1;muzikant
18;8;Verdi;1;3;7;3;7;6;1;muzikant
18;9;Elvira;2;3;99;3;99;6;99;99
18;10;Toscanini;1;3;7;3;99;6;1;dirigent
18;11;Callas;1;3;10;3;3;6;1;muzikant
19;1;Pontus;1;1;99;1;1;99;1;acteur/marketeer
19;2;Job;1;1;99;99;99;99;1;acteur
19;3;Harm;1;1;99;1;1;4;1;modeontwerper
19;4;Jenny;2;1;99;1;99;1;1;student
19;5;Raaf;1;99;99;99;99;99;1;marketeer
19;6;Sterre;2;99;99;99;99;99;99;99
