book_id,character_id,name,name_variant,
40,3,Mengsje,Mengsje,
40,3,Mengsje,Mengsje Wijtman,
40,4,Loulou,Loulou,
40,4,Loulou,Loulou van Moorselaar,
40,5,Geurt,Geurt,
40,5,Geurt,Geurt Veldkamp,
40,6,Judith,Judith,
40,7,Van Moorselaar,Van Moorselaar,vader van Loulou van Moorselaar
40,8,Netta,Netta,
40,9,Luttink,Luttink,
40,10,Trijntjemeut,Trijntjemeut,
40,11,Steven-om,Steven-om,
40,11,Steven-om,Steven,
40,12,Arie,Arie,
40,13,Marius,Marius,
41,1,Holly,Holly,
41,1,Holly,Holly Hughes,
41,2,Heather,Heather,
41,2,Heather,Heather Hughes,
41,3,Todi,Todi,
41,3,Todi,Todi Hughes,
41,4,vader,vader,
41,4,vader,Vader,
42,1,Nick,Nick,
42,1,Nick,Nicky,
42,1,Nick,Nicasia,
42,2,Verena,Verena,
42,2,Verena,Ver,
42,3,Harm,Harm,
42,4,Parker,Parker,
42,4,Parker,Ben,
42,4,Parker,Ben Parker,
42,5,Tommy,Tommy,
42,6,Muriel,Muriel,
42,6,Muriel,Meurtje,
42,6,Muriel,Meur,
42,7,Zadok,Zadok,
42,8,Bronx,Bronx,
42,9,Peter,Peter,
42,10,Bestman,Bestman,
42,11,Henry,Henry,
42,11,Henry,Richard,
42,12,Natasha,Natasha,
42,13,Hugo,Hugo,
42,14,Adam,Adam,
42,15,Tilly,Tilly,
43,1,Laura,Laura,
43,1,Laura,Minja,
43,2,Rudolf,Rudolf,
43,3,Eileen,Eileen,
43,4,Klara,Klara,
43,5,Paul,Paul,
43,6,Tijmen,Tijmen,
43,7,Siem,Siem,
43,8,Valerie,Valerie,
43,9,Walter,Walter,
43,10,Ezechiël,Ezechiël,
43,11,Daniëlle,Daniëlle,
43,12,Christien,Christien,
43,13,Kato,Kato,
43,13,Kato,meneer Kato,
44,1,ik,ik,
44,1,ik,Meneer-ongevraagd-advies-punt-nl,
44,1,ik,De-Man-met-het-bevroren-hart,
44,2,Het-Meisje-met-de-mooiste-heupen,Het-Meisje-met-de-mooiste-heupen,
44,2,Het-Meisje-met-de-mooiste-heupen,Het-Meisje-met-de-mooie-heupen-dat-altijd-janken-moest,
44,2,Het-Meisje-met-de-mooiste-heupen,Het-Meisje-dat-altijd-janken-moet,
44,2,Het-Meisje-met-de-mooiste-heupen,Het-Meisje-met-de-mooiste-kont-waar-ook-nog-karakter-in-zit,
